id,_date,_open,_high,_low,_close,adj_close,volumen
277,2000-02-25,0.136068,0.136068,0.121875,0.127474,0.116923,278736000
278,2000-02-28,0.126823,0.128125,0.124479,0.126563,0.116087,517872000
279,2000-02-29,0.125781,0.134896,0.125781,0.133333,0.122297,306048000
280,2000-03-01,0.133333,0.133333,0.127344,0.129427,0.118714,383568000
281,2000-03-02,0.130469,0.130469,0.120313,0.120703,0.110712,191040000
282,2000-03-03,0.120833,0.123958,0.119792,0.122656,0.112503,273696000
283,2000-03-06,0.123438,0.132813,0.120833,0.121875,0.111787,432096000
284,2000-03-07,0.15625,0.181771,0.149479,0.173568,0.159201,1952208000
285,2000-03-08,0.17347,0.176563,0.160938,0.175,0.160515,668736000
286,2000-03-09,0.177083,0.225,0.176563,0.208952,0.191656,952944000
287,2000-03-10,0.219792,0.302083,0.218229,0.245833,0.225485,2161200000
288,2000-03-13,0.222917,0.3125,0.220833,0.310938,0.285201,2415168000
289,2000-03-14,0.309245,0.309245,0.225,0.229427,0.210437,1567776000
290,2000-03-15,0.245866,0.252214,0.2125,0.220052,0.201838,995616000
291,2000-03-16,0.227083,0.234896,0.192969,0.196191,0.179952,750384000
292,2000-03-17,0.191667,0.222917,0.191634,0.208073,0.19085,557616000
293,2000-03-20,0.216276,0.223177,0.201302,0.207943,0.190731,365280000
294,2000-03-21,0.208333,0.210156,0.18125,0.197656,0.181295,536640000
295,2000-03-22,0.199219,0.205208,0.195833,0.199089,0.18261,230592000
296,2000-03-23,0.197266,0.213542,0.196875,0.202604,0.185834,309408000
297,2000-03-24,0.201302,0.210417,0.1875,0.194141,0.178071,231600000
298,2000-03-27,0.19375,0.2,0.179688,0.18138,0.166367,388944000
299,2000-03-28,0.17513,0.177083,0.164583,0.167839,0.153946,393312000
300,2000-03-29,0.16849,0.172396,0.15,0.156771,0.143795,469440000
301,2000-03-30,0.152083,0.170313,0.146875,0.155859,0.142958,361920000
302,2000-03-31,0.166504,0.183073,0.163542,0.176009,0.16144,962976000
303,2000-04-03,0.174414,0.175,0.157682,0.16224,0.148811,329952000
304,2000-04-04,0.170833,0.173698,0.11875,0.15625,0.143317,513792000
305,2000-04-05,0.157813,0.203125,0.14974,0.191016,0.175205,639600000
306,2000-04-06,0.19987,0.210026,0.190365,0.19987,0.183326,404592000
307,2000-04-07,0.209896,0.21875,0.201042,0.213672,0.195986,318576000
308,2000-04-10,0.217318,0.229948,0.190755,0.194792,0.178668,395280000
309,2000-04-11,0.181217,0.197917,0.166667,0.183203,0.168039,457584000
310,2000-04-12,0.183464,0.1875,0.163542,0.164193,0.150602,313440000
311,2000-04-13,0.165495,0.171354,0.154427,0.157161,0.144152,313296000
312,2000-04-14,0.147135,0.158464,0.136458,0.143327,0.131463,421920000
313,2000-04-17,0.13125,0.15625,0.13125,0.150651,0.138181,294096000
314,2000-04-18,0.16582,0.186979,0.160938,0.177344,0.162665,477504000
315,2000-04-19,0.182943,0.185417,0.166667,0.16888,0.154901,278352000
316,2000-04-20,0.173438,0.176693,0.165625,0.167969,0.154066,153936000
317,2000-04-24,0.158333,0.165365,0.151302,0.159635,0.146422,205968000
318,2000-04-25,0.166797,0.182292,0.166406,0.177083,0.162425,249696000
319,2000-04-26,0.189453,0.19375,0.175,0.17526,0.160753,254112000
320,2000-04-27,0.163542,0.191406,0.16263,0.189583,0.173891,280992000
321,2000-04-28,0.192578,0.2,0.185677,0.185677,0.170308,179040000
322,2000-05-01,0.192708,0.196875,0.187109,0.191667,0.175802,119424000
323,2000-05-02,0.191667,0.202865,0.178906,0.184245,0.168994,234000000
324,2000-05-03,0.183073,0.189063,0.166667,0.18125,0.166247,329184000
325,2000-05-04,0.180859,0.191146,0.179297,0.183464,0.168278,241200000
326,2000-05-05,0.182682,0.196354,0.180208,0.191927,0.176041,170592000
327,2000-05-08,0.186979,0.19375,0.184635,0.184896,0.169592,185136000
328,2000-05-09,0.188021,0.189583,0.177083,0.182292,0.167203,176832000
329,2000-05-10,0.180469,0.180599,0.16276,0.164323,0.150722,274080000
330,2000-05-11,0.166667,0.174349,0.164453,0.171354,0.15717,245904000
331,2000-05-12,0.176042,0.185417,0.166146,0.166146,0.152394,187824000
332,2000-05-15,0.165365,0.180469,0.157292,0.177604,0.162903,282096000
333,2000-05-16,0.185417,0.201432,0.183333,0.195833,0.179623,366432000
334,2000-05-17,0.20625,0.238802,0.20612,0.230208,0.211153,1290624000
335,2000-05-18,0.23151,0.235286,0.213151,0.214583,0.196821,509904000
336,2000-05-19,0.208333,0.219792,0.206771,0.21276,0.195149,521184000
337,2000-05-22,0.210417,0.226563,0.191797,0.226563,0.20781,517152000
338,2000-05-23,0.220833,0.245703,0.217188,0.22474,0.206137,778560000
339,2000-05-24,0.224479,0.228125,0.192188,0.221875,0.20351,739632000
340,2000-05-25,0.22513,0.238542,0.216016,0.21875,0.200643,569184000
341,2000-05-26,0.219857,0.225911,0.20625,0.219857,0.201659,183456000
342,2000-05-30,0.225781,0.234635,0.22474,0.228906,0.209959,303648000
